Rank,Name,Symbol,Markey Cap (cleaned),Circulating (cleaned),% 1h,% 24h,% 7d
62,Zilliqa,ZIL,195313023,10536461439,1.08%,-5.49%,-6.73%
63,Aave,LEND,188926075,373380206,-0.16%,6.86%,-2.60%
64,Loopring,LRC,185458945,1144730218,2.63%,-4.84%,-12.79%
65,Energy Web Token,EWT,184019000,30062138,2.16%,-4.23%,-18.13%
66,Kyber Network,KNC,177475353,198275485,1.84%,-1.17%,-9.41%
67,Hedera Hashgraph,HBAR,171450889,5631548942,0.09%,-6.61%,-11.58%
68,HUSD,HUSD,170697859,170672530,-0.02%,-0.04%,-0.05%
69,Decred,DCR,148189184,12150492,2.60%,-1.28%,1.16%
70,NXM,NXM,143532195,5466908,3.47%,-11.87%,-26.93%
71,Augur,REP,142229959,11000000,0.74%,-1.10%,-3.45%
72,Lisk,LSK,137102283,126190555,1.06%,-1.01%,-5.91%
73,Quant,QNT,134507778,12072738,-0.46%,-2.59%,0.71%
74,Bitcoin Gold,BTG,133709005,17513924,1.19%,-1.96%,-5.54%
75,Ocean Protocol,OCEAN,130111134,379543323,0.10%,-3.23%,-9.19%
76,CyberVein,CVT,129221209,1060404496,-1.36%,-1.45%,-6.64%
77,NEAR Protocol,NEAR,127595261,174876443,5.00%,-8.41%,0.00%
78,ZB Token,ZB,124580477,463288810,2.81%,4.37%,1.48%
79,The Midas Touch Gold,TMTG,123195008,5925840363,-0.99%,-1.60%,-5.24%
82,Nano,NANO,120144029,133248297,2.09%,7.08%,10.13%
83,Enjin Coin,ENJ,118711923,823130411,1.84%,-2.80%,-9.66%
84,Band Protocol,BAND,118755061,20494033,1.22%,-4.91%,-14.05%
85,Siacoin,SC,116504745,44932042992,-1.08%,-7.03%,-20.25%
87,Decentraland,MANA,107397721,1484100734,0.59%,-1.85%,-6.92%
88,Elrond,EGLD,100513277,13710605,1.24%,0.03%,-7.86%
89,Aragon,ANT,97281999,33142159,1.83%,-8.47%,-18.39%
90,Avalanche,AVAX,97714080,24500000,2.74%,-1.64%,-9.89%
91,Bitcoin Diamond,BCD,94807016,186492898,0.66%,-0.40%,-5.90%
92,Ravencoin,RVN,92295009,7298015000,0.83%,-0.70%,-5.18%
93,Reserve Rights,RSR,92188189,9349999000,3.91%,-12.84%,-4.68%
94,Golem,GNT,91000079,990670000,3.01%,-0.17%,-13.11%
95,Numeraire,NMR,90947159,3350346,1.88%,-5.67%,-12.49%
96,Arweave,AR,89981113,33394701,3.32%,-9.04%,-42.29%
97,Balancer,BAL,87754266,6943831,1.22%,-3.96%,-16.65%
98,SushiSwap,SUSHI,86830793,131579248,4.99%,-2.01%,-11.01%
99,Orchid,OXT,85959490,367584352,1.78%,-3.07%,-9.25%
100,Bytom,BTM,85393467,1381126094,0.82%,0.04%,-5.23%
101,DxChain Token,DX,85003190,50000000000,-3.27%,-2.08%,-14.61%
102,Solana,SOL,85528026,43772045,3.01%,-6.42%,-18.76%
103,Nervos Network,CKB,85100629,21099278743,0.73%,-3.99%,-14.03%
104,Swipe,SXP,84992706,76766934,0.05%,-7.06%,-12.20%
106,MonaCoin,MONA,83122554,65729675,0.63%,-0.45%,0.44%
107,Nexo,NEXO,82018638,560000011,2.03%,-4.01%,13.43%
108,Status,SNT,80972800,3470483788,1.26%,-1.26%,-7.39%
109,IOST,IOST,80519767,15223687258,1.96%,-4.38%,-11.66%
110,Ampleforth,AMPL,80406011,91460789,1.73%,-5.69%,13.59%
111,Storj,STORJ,77172190,198650514,2.77%,-0.32%,-34.28%
112,THORChain,RUNE,76848294,158432088,1.48%,-11.44%,-21.04%
113,KuCoin Shares,KCS,75793999,80728394,1.45%,1.00%,7.51%
114,Verge,XVG,72655724,16375751743,3.35%,-3.65%,-3.45%
115,DFI.Money,YFII,70354123,38596,-0.06%,-3.48%,-20.54%
116,SwissBorg,CHSB,67961186,923413697,1.62%,-0.04%,-8.27%
117,Divi,DIVI,67181383,1955812382,2.18%,-5.97%,-5.93%
118,PAX Gold,PAXG,66481260,34655,0.53%,1.18%,1.19%
120,iExec RLC,RLC,64109456,80070793,1.23%,-5.16%,-22.52%
121,Bancor,BNT,63513885,69298094,1.82%,-11.44%,-30.14%
122,Kava.io,KAVA,62607656,33485395,2.08%,-4.99%,-18.93%
123,Steem,STEEM,60956879,389380345,0.33%,0.15%,-6.37%
124,Matic Network,MATIC,60936245,3830626432,1.24%,-2.86%,-10.01%
125,Komodo,KMD,60025327,122357278,0.93%,-6.46%,-12.03%
126,Horizen,ZEN,58871347,10198500,0.55%,-2.24%,-7.93%
127,apM Coin,APM,58805549,361875000,-10.37%,-7.44%,83.34%
128,JUST,JST,58017625,2260326706,0.94%,-1.95%,-10.91%
129,Helium,HNT,57211493,51092578,1.51%,-1.95%,-16.39%
130,RSK Infrastructure Framework,RIF,56441469,656073345,0.62%,3.95%,-6.00%
131,Gnosis,GNO,56285549,1104590,1.68%,10.01%,8.62%
132,Hive,HIVE,55605281,403527662,0.58%,-0.78%,-12.25%
133,BitShares,BTS,55119944,2997460000,0.74%,-2.33%,-5.34%
134,Uquid Coin,UQC,54868254,10000000,9.49%,8.96%,9.03%
135,Electroneum,ETN,54128252,10201693115,0.52%,1.08%,-0.22%
136,Serum,SRM,54329024,50000000,1.80%,-8.91%,-18.37%
137,Chiliz,CHZ,51795582,4920737861,1.51%,-1.18%,-4.18%
138,WAX,WAXP,51586909,1370391106,0.19%,-2.12%,-7.99%
139,Velas,VLX,51122106,1411632215,-0.43%,-1.22%,-24.84%
140,Fantom,FTM,50922720,2124416531,1.53%,-4.78%,-22.47%
141,Energi,NRG,50529657,34096333,1.41%,2.49%,-6.81%
142,aelf,ELF,50106826,544480200,1.23%,-0.06%,-4.53%
143,IRISnet,IRIS,49979718,846571323,2.28%,-6.59%,-16.66%
144,Utrust,UTK,49386741,450000000,-0.53%,-11.84%,-17.92%
145,Ardor,ARDR,49252259,998999495,0.73%,0.91%,-4.47%
146,Theta Fuel,TFUEL,48196515,4962631792,0.49%,-1.23%,-2.16%
147,HyperCash,HC,47928008,44840025,1.73%,-0.11%,-4.88%
148,MCO,MCO,47761147,15793831,1.20%,-7.88%,-28.83%
149,TomoChain,TOMO,48064595,75776425,2.32%,-5.44%,-21.19%
150,Hyperion,HYN,47348101,316765917,0.07%,-15.34%,-22.00%
151,Ankr,ANKR,47263903,5829566044,3.79%,-4.73%,-0.49%
152,Unibright,UBT,46836255,148799999,2.58%,5.53%,1.27%
153,MaidSafeCoin,MAID,46099525,452552412,1.50%,-5.67%,20.57%
154,Kleros,PNK,45213971,553290265,0.46%,88.61%,44.17%
155,Wanchain,WAN,43068167,168674306,0.81%,-1.56%,-6.11%
156,MXC,MXC,42322223,2605538083,-1.03%,-5.13%,-15.67%
157,ShareToken,SHR,41837349,1946718432,1.26%,-1.88%,-8.01%
158,Zcoin,XZC,41780625,11123918,0.54%,-2.00%,-14.72%
159,GateToken,GT,39956237,78504038,1.27%,0.86%,-3.52%
160,Hxro,HXRO,39219782,181986452,1.04%,1.39%,-1.07%
161,Stratis,STRAT,39153310,100002698,0.20%,-3.78%,-15.45%
162,Handshake ,HNS,38780824,315997050,-1.21%,-6.01%,-18.09%
163,WaykiChain,WICC,37473096,189000000,1.12%,1.14%,-8.49%
164,Curve DAO Token,CRV,38206494,100903659,2.94%,-4.75%,-30.45%
165,STASIS EURO,EURS,36934316,31979207,0.46%,1.08%,-0.34%
166,Pundi X,NPXS,37212689,2.35E+11,0.73%,-1.77%,-6.97%
167,Aurora,AOA,36185037,6542330148,2.22%,0.20%,2.02%
168,Fetch.ai,FET,35856626,746113681,4.71%,-6.96%,-9.70%
169,v.systems,VSYS,35336070,2116316752,0.04%,-6.11%,-14.40%
170,xDai,STAKE,35740212,3009307,3.40%,-9.25%,-7.58%
171,Ark,ARK,35040816,124611127,0.79%,-3.24%,-9.52%
172,Aeternity,AE,34785328,323169227,1.25%,-0.51%,-7.88%
173,OriginTrail,TRAC,34252504,319784296,5.11%,2.71%,-3.84%
174,Aion,AION,34197008,468225632,0.10%,-5.12%,-16.20%
175,SOLVE,SOLVE,33961150,340651077,0.99%,-2.06%,-5.63%
176,Power Ledger,POWR,33462872,424067509,0.70%,-1.85%,-9.63%
177,DIA,DIA,33468541,28271916,1.57%,-6.84%,-25.47%
180,Streamr,DATA,30810594,694194898,0.65%,-4.42%,7.27%
181,Voyager Token,VGX,30800425,222295208,2.72%,12.40%,24.89%
182,Orbs,ORBS,30552761,2229950518,-0.85%,1.66%,4.95%
183,Elastos,ELA,30606835,17244540,-3.62%,2.84%,7.74%
184,Super Zero Protocol,SERO,30455340,293962021,-0.09%,3.05%,-17.67%
185,SingularityNET,AGI,30404824,842014150,1.78%,-5.51%,-16.60%
186,Tellor,TRB,29774699,1509452,0.93%,-9.24%,-21.59%
187,GXChain,GXC,28914172,70000000,0.72%,0.57%,-5.44%
188,IoTeX,IOTX,28576880,4823952133,0.67%,-6.38%,-14.36%
189,Wirex Token,WXT,28006538,3000500000,1.38%,-0.13%,-4.32%
190,Digitex Futures,DGTX,27862743,931035715,2.36%,0.02%,-5.08%
191,Xensor,XSR,27481817,4637982768,0.26%,0.03%,-3.87%
192,BOSAGORA,BOA,27117249,282119914,0.35%,2.40%,19.34%
193,DAD,DAD,26567871,134601733,0.04%,-5.44%,-8.41%
194,Thunder Token,TT,26478826,5887903653,0.11%,-1.08%,-4.92%
195,Switcheo,SWTH,26452562,1015886815,-0.47%,-4.77%,-14.72%
196,Melon,MLN,25974899,1492260,0.82%,-4.57%,-24.45%
197,Redd,RDD,25291971,28808713174,-8.94%,-7.70%,-5.65%
198,MX Token,MX,25356039,155671626,1.62%,-3.85%,3.04%
199,HEX,HEX,1984895952,3.77E+11,4.75%,17.52%,27.93%
200,Eterbase Utility Token,XBASE,759249016,1000000000,1.50%,1.75%,1.96%
201,Counos X,CCXX,701314931,17732405,0.01%,10.39%,12.78%
202,INO COIN,INO,477927800,180003180,3.06%,2.87%,6.96%
203,Insight Chain,INB,414855382,349902689,0.16%,-0.49%,5.72%
204,Zelwin,ZLW,333331132,51759182,-0.15%,-2.85%,-2.83%
206,renBTC,RENBTC,308411186,25453,3.20%,3.32%,5.67%
207,Homeros,HMR,292759717,345893692,1.21%,1.83%,6.03%
208,BitcoinPoS,BPS,277009482,3725289,7.11%,-9.40%,15.04%
209,IZE,IZE,265322245,4160881000,-5.74%,-9.30%,114.41%
211,Basid Coin,BASID,222996885,337488901,-0.03%,1.40%,2.65%
212,ThoreCoin,THR,205901761,86686,1.78%,4.18%,6.71%
213,Poseidon Network,QQQ,195023059,2152875408,0.84%,11.33%,116.27%
214,Largo Coin,LRG,167396668,17105873,0.02%,-0.26%,-1.66%
215,STPAY,STP,167411915,4330437,1.84%,10.23%,2.10%
216,Sologenic,SOLO,155723982,200001808,-1.05%,-0.29%,-3.38%
217,botXcoin,BOTX,153305083,1632102305,0.00%,-1.93%,-1.34%
218,Advanced Internet Blocks,AIB,139035058,24213254183,2.00%,-17.55%,185.19%
219,Doctors Coin,DRS,128412615,229741603,0.02%,-0.67%,-3.14%
220,MINDOL,MIN,118153821,170719690,0.30%,4.93%,-10.13%
221,Cryptonex,CNX,98975176,55686329,1.30%,2.61%,5.81%
222,NEST Protocol,NEST,92864811,1748764436,1.75%,-2.77%,-16.58%
223,Counos Coin,CCA,87939808,14848324,0.01%,0.00%,-0.01%
224,Beldex,BDX,81615138,980222595,1.82%,3.55%,1.04%
225,Idea Chain Coin,ICH,81250412,51252304,1.98%,7.03%,83.05%
226,TerraKRW,KRT,80079941,91650055280,0.11%,0.58%,1.00%
227,DeFiChain,DFI,77185143,377583219,0.80%,0.86%,-5.12%
228,Darma Cash,DMCH,76831752,209988375,0.17%,4.97%,-14.97%
229,Centrality,CENNZ,76124852,1181608395,1.55%,2.38%,7.78%
230,Bitball Treasure,BTRS,73903011,450000,0.01%,0.07%,-0.61%
231,Mixin,XIN,72825090,523078,0.45%,0.18%,1.18%
232,XinFin Network,XDC,70902438,12197995617,-6.87%,28.20%,26.18%
233,WhiteCoin,XWC,72105893,250183629,0.00%,0.27%,0.79%
235,NewYork Exchange,NYE,69667239,7090060,2.00%,-0.17%,-1.27%
236,Qcash,QC,69210373,460000200,0.27%,0.60%,1.19%
237,Attila,ATT,68068706,450382736,0.34%,1.39%,0.37%
238,Vitae,VITAE,65437400,19471178,2.23%,4.22%,5.90%
240,Bitcoin BEP2,BTCB,60824652,5001,-3.49%,5.93%,7.09%
241,Baer Chain,BRC,60359769,174000000,11.46%,1.64%,1.35%
242,Huobi BTC,HBTC,58817448,4810,1.90%,4.32%,6.85%
243,PlayFuel,PLF,58539763,500000000,-2.59%,-5.25%,-32.13%
244,cVault.finance,CORE,55756896,10000,0.49%,-0.95%,22.11%
246,Bitbook Gambling,BXK,54872547,357687491,2.58%,4.92%,7.54%
247,Tratin,TRAT,54657134,1.12E+11,1.84%,-16.65%,6.71%
248,MimbleWimbleCoin,MWC,52362348,10655037,-0.61%,14.75%,24.80%
249,VestChain,VEST,53416444,8420042616,5.91%,-1.50%,-0.91%
250,AXEL,AXEL,47246782,261181770,0.55%,0.74%,-3.94%
251,Tap,XTP,47009025,1231911016,-1.37%,9.20%,-2.91%
254,Neutrino USD,USDN,42168683,42393654,-0.17%,-0.06%,0.18%
255,Bankera,BNK,42047585,24618912108,1.84%,4.29%,7.52%
256,S4FE,S4F,41583666,895310762,9.29%,-8.87%,-14.37%
257,Livepeer,LPT,39788027,20739794,2.34%,-10.31%,-26.42%
258,Breezecoin,BRZE,37215723,100000000,-2.47%,3.24%,2.75%
259,Bridge Oracle,BRG,37309501,8002167205,2.69%,-34.19%,-60.47%
260,Cryptoindex.com 100,CIX100,36219900,62409480,0.01%,-2.57%,-3.05%
261,CONUN,CON,35147826,2896500643,9.48%,12.80%,-8.40%
262,1irstcoin,FST,34050857,34965944,0.40%,1.76%,21.54%
263,KARMA,KARMA,33107491,5450532381,1.84%,2882.61%,8408.52%
264,XeniosCoin,XNC,31846852,76274958,1.07%,2.30%,4.15%
265,NerveNetwork,NVT,31317882,241433806,0.62%,-0.23%,-11.84%
266,IDEX,IDEX,31158019,535752811,1.21%,-11.65%,-12.80%
268,Hellenic Coin,HNC,29758806,69848842,6.55%,38.59%,29.96%
270,RedFOX Labs,RFOX,29182658,135693433,1.86%,3.72%,5.84%
271,Rocket Pool,RPL,28892261,10279742,1.29%,6.13%,-4.92%
272,USDK,USDK,28608278,28600072,-0.07%,-0.01%,-0.14%
273,TROY,TROY,27933871,9176552190,0.92%,-3.94%,-7.83%
275,KardiaChain,KAI,27773228,1750000000,-0.09%,-6.73%,-11.55%
276,BitMax Token,BTMX,27749245,660615274,0.14%,-0.03%,-18.01%
277,Trust Wallet Token,TWT,27522192,250926200,0.19%,-2.66%,0.36%
278,Dynamic Trading Rights,DTR,27361543,1533057143,1.24%,-1.68%,-0.92%
279,Phala.Network,PHA,26131935,137000000,1.36%,13.26%,49.09%
280,Harvest Finance,FARM,26239786,87396,8.96%,12.12%,112.91%
281,Chimpion,BNANA,28675729,31727387,5.82%,-2.48%,2.10%
282,CRYPTO20,C20,25425584,40375589,-4.65%,-4.14%,-3.54%
283,TitanSwap,TITAN,25013680,53404160,-5.82%,-21.99%,33.81%
285,WOM Protocol,WOM,25243325,100007450,2.71%,-1.69%,-7.21%
286,WINk,WIN,25226627,3.14E+11,0.57%,3.24%,-0.75%
287,Secret,SCRT,23560510,56395809,-0.74%,-3.33%,-21.67%
288,Syscoin,SYS,24931248,598077896,2.00%,-1.00%,-16.62%
289,Polymath,POLY,24807434,533500099,0.64%,2.30%,-9.34%
290,Akropolis ,AKRO,24498265,1995847438,1.86%,-5.79%,-21.84%
291,Nectar,NEC,24107145,157517510,0.37%,-2.24%,2.41%
292,ExtStock Token,XT,23874614,601588625,2.06%,-0.10%,-1.10%
293,PRIZM,PZM,23782281,2236557179,-0.69%,-7.84%,-16.68%
294,ThoreNext,THX,23405465,47950305,1103.03%,> 9000%,7856.57%
295,AgaveCoin,AGVC,23397881,390619593,2.02%,1.72%,-1.34%
296,Waltonchain,WTC,23298095,69656288,-0.54%,-10.09%,-16.36%
297,The Transfer Token,TTT,23352650,26421791,-4.19%,15.79%,5.64%
298,The Sandbox,SAND,23446099,604553384,0.77%,-6.48%,-16.46%
299,Crypterium,CRPT,23169094,99427872,1.03%,-11.22%,-7.80%
300,NULS,NULS,23139774,99292955,0.49%,-4.85%,-13.30%
301,Nash Exchange,NEX,23058721,23442586,2.68%,5.38%,6.21%
302,BHEX Token,BHT,22931179,195639532,-0.09%,-8.05%,6.85%
303,Egoras,EGR,22958796,65160356358,4.30%,20.66%,-0.02%
304,sUSD,SUSD,22555422,22510653,-0.01%,-0.06%,-0.18%
305,Loki,LOKI,22535180,50809350,0.11%,0.93%,2.23%
306,Native Utility Token,NUT,22618195,982854,0.90%,0.73%,-0.55%
307,Amp,AMP,22451239,4224314276,0.90%,-3.59%,-8.67%
308,Cortex,CTXC,22213067,249938725,1.55%,1.20%,-2.21%
311,Hashgard,GARD,21961977,99144999910,0.53%,-8.72%,-17.01%
312,AdEx Network,ADX,22028506,101898579,0.10%,5.30%,10.46%
313,Bytecoin,BCN,21944822,1.84E+11,0.37%,9.88%,-13.43%
314,Travala.com,AVA,21887799,42206726,0.78%,-7.32%,-7.48%
315,WazirX,WRX,21843649,233817289,0.16%,-3.19%,-4.00%
317,Zynecoin,ZYN,21328372,22138879,1.80%,0.22%,-13.05%
318,Origin Protocol,OGN,21061405,130324844,-0.74%,-5.54%,-12.76%
319,Huobi Pool Token,HPT,20804916,5206881467,0.57%,-2.41%,-12.71%
320,PIVX,PIVX,20767419,56781166,0.10%,-1.25%,-6.31%
321,BORA,BORA,20794285,782507415,0.03%,-0.15%,0.07%
322,Haven Protocol,XHV,20541087,13741027,-0.43%,-2.68%,-23.07%
323,Massnet,MASS,20431022,86192962,1.59%,-3.04%,-28.24%
324,Request,REQ,20314350,999966001,0.32%,-9.54%,-10.24%
325,Metal,MTL,20207062,65588845,0.00%,-0.85%,-6.22%
326,Ripio Credit Network,RCN,20160548,508404746,-1.48%,-4.52%,-10.19%
327,NOIA Network,NOIA,19978786,321395830,-1.56%,-5.79%,-12.78%
328,BASIC,BASIC,19820765,2684444367,-1.22%,-0.99%,3.26%
329,Bluzelle,BLZ,19748681,246277944,3.57%,-1.15%,-29.76%
330,FunFair,FUN,19735693,6548879189,1.29%,-1.57%,-8.66%
332,Prometeus,PROM,19501784,6870000,0.15%,0.26%,-1.23%
333,Obyte,GBYTE,19448699,753681,2.11%,-7.80%,12.33%
334,Loom Network,LOOM,19536337,970520754,2.04%,-4.36%,-13.71%
335,Sora,XOR,19213845,350000,-3.69%,-3.96%,-15.85%
336,XPR,XPR,19225203,1810771882,-0.70%,0.80%,-0.39%
337,ChainX,PCX,19297801,7235800,-0.16%,-5.16%,-6.37%
338,CONTRACOIN,CTCN,19076708,22441493,0.31%,0.76%,-5.22%
340,Elamachain,ELAMA,18167164,730115375,-1.79%,-3.22%,30.70%
341,Quantstamp,QSP,18543596,713801946,2.39%,0.49%,-6.74%
342,VIDT Datalink,VIDT,18418084,49428303,-1.59%,-16.54%,-18.70%
343,AirSwap,AST,18433774,150000000,-2.88%,-6.85%,-28.39%
344,ERC20,ERC20,18455549,1126570972,-1.89%,7.80%,-1.55%
345,BitcoinHD,BHD,18417547,6083016,-1.40%,-4.45%,-13.79%
346,Dragonchain,DRGN,18416785,359942436,0.35%,-4.84%,-12.18%
347,Newscrypto,NWC,18412655,95233119,0.48%,-0.81%,-3.56%
348,Ergo,ERG,18223577,22473478,8.21%,7.52%,4.60%
349,Dent,DENT,18250468,83603941183,0.67%,-1.61%,-1.53%
350,Elitium,EUM,18157943,16691713,1.82%,7.42%,6.11%
351,Nebulas,NAS,18192996,57137994,1.14%,-0.97%,-7.79%
352,SUN,SUN,18150413,1677831,0.96%,-6.57%,-24.13%
353,Cindicator,CND,18101500,2000000005,-0.75%,-2.35%,-4.56%
354,TrustSwap,SWAP,17858522,92124513,-1.20%,-13.35%,-25.15%
355,Orion Protocol,ORN,17707884,12487600,0.16%,-9.94%,-28.07%
356,Kcash,KCASH,17684020,445499083,1.12%,0.17%,-26.26%
357,Mainframe,MFT,17678694,9386552599,4.95%,3.53%,2.38%
358,VeThor Token,VTHO,17431169,28801094026,-0.47%,-9.45%,-15.57%
359,Civic,CVC,17296367,670000000,0.38%,-1.93%,-6.18%
360,Beam,BEAM,17397047,73139800,1.28%,-2.12%,-14.09%
361,Gleec,GLEEC,17236042,12776795,1.91%,138.61%,126.11%
362,CRYPTOBUCKS,CBUCKS,17025764,3932014867,0.01%,-0.19%,3.23%
363,YF Link,YFL,16816551,50115,0.51%,-10.67%,-21.78%
364,Molecular Future,MOF,16835464,85481225,9.97%,-2.22%,-6.71%
365,Perpetual Protocol,PERP,16676593,14658764,-0.03%,-0.63%,8.61%
366,Davinci Coin,DAC,16748204,4526901499,1.62%,-3.07%,-4.24%
367,COTI,COTI,16811586,568032883,2.23%,-2.72%,-25.75%
368,SUKU,SUKU,16576476,79536126,79.44%,65.26%,-1.13%
369,YFValue,YFV,16719856,4440017,-0.36%,-10.62%,-14.41%
370,TrueChain,TRUE,16508444,79575543,0.02%,-4.20%,-11.14%
371,Bonorum,BONO,19448881,613146,47.07%,116.47%,-30.29%
372,Stakenet,XSN,16355529,107684603,0.54%,-1.85%,-2.82%
373,Buggyra Coin Zero,BCZERO,16319213,2010775988,0.30%,12.22%,5.10%
374,Celer Network,CELR,16354011,3958614878,-3.36%,-5.94%,-17.09%
375,bZx Protocol,BZRX,16374137,140610067,3.50%,-1.57%,-11.02%
376,Invictus Hyperion Fund,IHF,16190539,118013531,0.01%,-4.80%,-1.40%
377,Ignis,IGNIS,15930211,761143950,-1.49%,2.18%,-2.08%
378,SaluS,SLS,15928759,1012265,1.84%,0.00%,-1.67%
379,12Ships,TSHP,15925131,4930225699,-0.19%,-3.10%,-3.22%
380,Function X,FX,15925125,229832220,0.95%,-0.72%,-2.80%
381,Bloomzed Loyalty Club Ticket,BLCT,15571395,38000000,-0.15%,1.78%,11.25%
382,Standard Tokenization Protocol,STPT,15577802,916326558,0.73%,-2.37%,-13.41%
383,DREP,DREP,15466005,3987164299,0.57%,2.36%,-4.90%
384,StormX,STMX,15314512,7524130697,-0.43%,-0.72%,-7.78%
385,Unobtanium,UNO,15308219,202889,1.11%,1.54%,4.15%
386,Metaverse ETP,ETP,15187430,79151405,1.46%,2.35%,21.49%
387,LTO Network,LTO,15192918,243227807,1.14%,-3.22%,-5.76%
388,ARPA Chain,ARPA,14947630,865830274,-0.12%,-6.16%,-12.77%
389,Gemini Dollar,GUSD,14884465,14916113,-0.23%,-0.09%,0.15%
390,Grin,GRIN,14869587,55432140,0.64%,-0.63%,-13.83%
391,BTU Protocol,BTU,14848762,90014375,0.42%,-59.98%,-65.58%
392,Celo Dollar,CUSD,14832294,14789405,0.00%,0.92%,0.75%
393,Gas,GAS,14804631,10128375,0.69%,-1.91%,-4.93%
394,Enigma,ENG,14763867,27021899,0.51%,1.44%,-4.63%
395,B2BX,B2B,14742896,19629794,0.01%,1.98%,2.29%
396,Sport and Leisure,SNL,14634215,676171453,1.76%,-0.61%,-1.36%
397,CasinoCoin,CSC,14490809,39999676974,2.80%,-0.34%,2.65%
398,Everus,EVR,16768450,465776874,-1.29%,31.76%,-19.57%
