symbol,baseAsset,quoteAsset,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
WTCETH,WTC,ETH,0.00000100,0.170,0.00058434,0.00058500,0.00059000,20.62000000,0.00058600,120.22000000,0.00059100,515.53000000,0.00058900,0.00059800,0.00056500,32967.90000000,19.26442234,1607498840166,1607585240166,3328956,3329277,322
LRCBTC,LRC,BTC,0.00000002,0.202,0.00001024,0.00000987,0.00000991,5147.00000000,0.00000991,7817.00000000,0.00000993,223.00000000,0.00000989,0.00001088,0.00000958,7012142.00000000,71.77808133,1607498919068,1607585319068,8274152,8282292,8141
LRCETH,LRC,ETH,-0.00000521,-1.578,0.00033468,0.00032729,0.00032493,9.00000000,0.00032246,89.00000000,0.00032524,134.00000000,0.00033014,0.00035351,0.00031840,1775451.00000000,594.21380261,1607498922210,1607585322210,2373577,2376180,2604
QTUMBTC,QTUM,BTC,-0.00000060,-0.451,0.00013364,0.00013310,0.00013250,138.44000000,0.00013250,1501.88000000,0.00013260,24.81000000,0.00013310,0.00013590,0.00012950,379137.49000000,50.66884156,1607498922261,1607585322261,14866151,14869347,3197
OMGBTC,OMG,BTC,-0.00000370,-2.088,0.00017519,0.00017740,0.00017350,10.16000000,0.00017340,20.19000000,0.00017360,38.65000000,0.00017720,0.00017930,0.00016980,553812.74000000,97.02021708,1607498920662,1607585320662,15806942,15813922,6981
OMGETH,OMG,ETH,-0.00021900,-3.724,0.00570906,0.00589200,0.00566200,340.94000000,0.00564500,474.25000000,0.00566300,12.20000000,0.00588100,0.00588400,0.00561800,35595.51000000,203.21684892,1607498921360,1607585321360,4251827,4252450,624
ZRXBTC,ZRX,BTC,-0.00000040,-1.933,0.00002050,0.00002067,0.00002029,11.00000000,0.00002026,113.00000000,0.00002028,118.00000000,0.00002069,0.00002081,0.00002019,919100.00000000,18.84281987,1607498903444,1607585303444,18682223,18684683,2461
ZRXETH,ZRX,ETH,-0.00002245,-3.282,0.00066639,0.00068741,0.00066156,1065.00000000,0.00065987,30.00000000,0.00066387,4248.00000000,0.00068401,0.00068401,0.00065677,51067.00000000,34.03033827,1607498921820,1607585321820,4716356,4716597,242
STRATBTC,STRAT,BTC,-0.00000338,-9.874,0.00003391,0.00003427,0.00003085,15.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003423,0.00003798,0.00003084,2064727.00000000,70.01430186,1605082601909,1605169001909,11068753,11078080,9328
STRATETH,STRAT,ETH,-0.00009200,-8.035,0.00114720,0.00115400,0.00105300,19.24000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00114500,0.00126800,0.00105300,177384.34000000,203.49549586,1605082602230,1605169002230,1658825,1659981,1157
SNGLSBTC,SNGLS,BTC,-0.00000001,-3.448,0.00000029,0.00000030,0.00000028,19491.00000000,0.00000028,1410509.00000000,0.00000029,3135019.00000000,0.00000029,0.00000030,0.00000028,9970146.00000000,2.87764308,1607498910690,1607585310690,5806931,5807276,346
SNGLSETH,SNGLS,ETH,0.00000000,0.000,0.00005306,0.00005306,0.00005306,207.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005306,0.00005306,0.00005306,207.00000000,0.01098342,1604223738964,1604310138964,1228253,1228253,1
KNCBTC,KNC,BTC,0.00000009,0.187,0.00004860,0.00004825,0.00004832,17.00000000,0.00004825,50.00000000,0.00004832,983.00000000,0.00004823,0.00004982,0.00004728,1064517.00000000,51.73879675,1607498891031,1607585291031,13042639,13047033,4395
KNCETH,KNC,ETH,-0.00002390,-1.490,0.00157665,0.00160580,0.00158000,2.00000000,0.00157100,50.00000000,0.00157570,52.00000000,0.00160390,0.00160890,0.00154440,112051.00000000,176.66488730,1607498886133,1607585286133,3869755,3870470,716
FUNBTC,FUN,BTC,0.00000001,5.000,0.00000021,0.00000021,0.00000021,5852.00000000,0.00000020,15163553.00000000,0.00000021,7998052.00000000,0.00000020,0.00000022,0.00000020,58883165.00000000,12.38035389,1607498883858,1607585283858,6527874,6529108,1235
FUNETH,FUN,ETH,-0.00000015,-2.183,0.00000682,0.00000684,0.00000672,14671.00000000,0.00000671,16693.00000000,0.00000677,14563.00000000,0.00000687,0.00000714,0.00000664,9612186.00000000,65.56181260,1607498921349,1607585321349,2092556,2093027,472
SNMBTC,SNM,BTC,-0.00000001,-2.439,0.00000041,0.00000040,0.00000040,6983.00000000,0.00000040,415142.00000000,0.00000041,1826238.00000000,0.00000041,0.00000042,0.00000039,7720503.00000000,3.16197941,1607498896866,1607585296866,5204518,5204876,359
SNMETH,SNM,ETH,0.00000000,0.000,0.00004986,0.00004986,0.00004986,585.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004986,0.00004986,0.00004986,585.00000000,0.02916810,1604223738964,1604310138964,1197836,1197836,1
NEOETH,NEO,ETH,-0.00052700,-1.760,0.02951548,0.03003600,0.02942300,21.32000000,0.02935500,100.58000000,0.02942300,4.34000000,0.02995000,0.03034100,0.02888800,14131.03000000,417.08412537,1607498921090,1607585321090,8873352,8874668,1317
LINKBTC,LINK,BTC,0.00001044,1.586,0.00067294,0.00065892,0.00066888,225.50000000,0.00066826,71.30000000,0.00066874,39.00000000,0.00065844,0.00069001,0.00065040,1168361.80000000,786.23438379,1607498922381,1607585322381,45949088,45979762,30675
LINKETH,LINK,ETH,-0.00009800,-0.448,0.02184722,0.02189500,0.02179800,1.00000000,0.02177600,2.28000000,0.02180100,1.00000000,0.02189600,0.02223600,0.02154800,70568.73000000,1541.73051023,1607498920874,1607585320874,10187826,10191212,3387
XVGBTC,XVG,BTC,0.00000003,9.375,0.00000034,0.00000033,0.00000035,24231.00000000,0.00000034,20528245.00000000,0.00000035,7447355.00000000,0.00000032,0.00000036,0.00000031,361080607.00000000,121.68969031,1607498918945,1607585318945,22339204,22345186,5983
XVGETH,XVG,ETH,0.00000062,5.811,0.00001087,0.00001067,0.00001129,1787.00000000,0.00001120,132482.00000000,0.00001129,7620.00000000,0.00001067,0.00001143,0.00001026,26733935.00000000,290.67709742,1607498889433,1607585289433,7096029,7097876,1848
SALTBTC,SALT,BTC,0.00000000,0.000,0.00004250,0.00004250,0.00004250,227.59000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004250,0.00004250,0.00004250,227.59000000,0.00967257,1604223738964,1604310138964,5158069,5158069,1
SALTETH,SALT,ETH,0.00000000,0.000,0.00113800,0.00113800,0.00113800,8.80000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00113800,0.00113800,0.00113800,8.80000000,0.01001440,1604223738964,1604310138964,1244558,1244558,1
MDABTC,MDA,BTC,0.00000113,4.428,0.00002771,0.00002563,0.00002665,136.00000000,0.00002673,4.00000000,0.00002677,4.00000000,0.00002552,0.00002931,0.00002515,1097122.00000000,30.39948527,1607498898571,1607585298571,11714061,11717336,3276
MDAETH,MDA,ETH,0.00000000,0.000,0.00181150,0.00181150,0.00181150,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00181150,0.00181150,0.00181150,2.00000000,0.00362300,1604223738964,1604310138964,2156347,2156347,1
MTLBTC,MTL,BTC,-0.00000099,-4.714,0.00002039,0.00002098,0.00002001,404.00000000,0.00001997,16.00000000,0.00002001,68.00000000,0.00002100,0.00002103,0.00001970,3428523.00000000,69.92326215,1607498919783,1607585319783,12571006,12580138,9133
MTLETH,MTL,ETH,-0.00004200,-6.026,0.00066117,0.00069700,0.00065500,4950.61000000,0.00064800,111.20000000,0.00065300,6000.00000000,0.00069700,0.00069900,0.00063700,322458.38000000,213.19844343,1607498922180,1607585322180,1849339,1850388,1050
SUBBTC,SUB,BTC,0.00000000,0.000,0.00000457,0.00000457,0.00000457,4474.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000457,0.00000457,0.00000457,4474.00000000,0.02044618,1604223738964,1604310138964,5221541,5221541,1
SUBETH,SUB,ETH,0.00000000,0.000,0.00012334,0.00012334,0.00012334,1000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012334,0.00012334,0.00012334,1000.00000000,0.12334000,1604223738964,1604310138964,1337955,1337955,1
EOSBTC,EOS,BTC,-0.00000080,-0.525,0.00015184,0.00015230,0.00015160,8.79000000,0.00015150,9042.08000000,0.00015160,24721.89000000,0.00015240,0.00015360,0.00015060,1813391.93000000,275.34212314,1607498921963,1607585321963,54260878,54273466,12589
SNTBTC,SNT,BTC,0.00000004,2.326,0.00000177,0.00000173,0.00000176,22167.00000000,0.00000176,385023.00000000,0.00000177,45422.00000000,0.00000172,0.00000187,0.00000163,34742622.00000000,61.66789719,1607498922091,1607585322091,8013227,8018186,4960
ETCETH,ETC,ETH,0.00003600,0.339,0.01072394,0.01060800,0.01065000,48.68000000,0.01063400,103.87000000,0.01067000,6.76000000,0.01061400,0.01113200,0.01047600,23462.16000000,251.60678996,1607498921983,1607585321983,5044296,5045593,1298
ETCBTC,ETC,BTC,0.00000770,2.414,0.00032964,0.00031880,0.00032670,15.99000000,0.00032670,49.95000000,0.00032690,7.46000000,0.00031900,0.00034020,0.00031560,337358.15000000,111.20653264,1607498922356,1607585322356,25085559,25099601,14043
MTHBTC,MTH,BTC,0.00000000,0.000,0.00000037,0.00000037,0.00000037,194618.00000000,0.00000037,1098655.00000000,0.00000038,848389.00000000,0.00000037,0.00000039,0.00000036,6818424.00000000,2.54617748,1607498434823,1607584834823,5860664,5860985,322
MTHETH,MTH,ETH,0.00000000,0.000,0.00004135,0.00004135,0.00004135,2839.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004135,0.00004135,0.00004135,2839.00000000,0.11739265,1604223738964,1604310138964,1136098,1136098,1
ENGBTC,ENG,BTC,0.00000000,0.000,0.00006200,0.00006200,0.00006200,355.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006200,0.00006200,0.00006200,355.00000000,0.02201000,1604223738964,1604310138964,8655288,8655288,1
ENGETH,ENG,ETH,0.00000000,0.000,0.00186480,0.00186480,0.00186480,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00186480,0.00186480,0.00186480,2.00000000,0.00372960,1604223738964,1604310138964,2036718,2036718,1
DNTBTC,DNT,BTC,-0.00000013,-4.530,0.00000279,0.00000287,0.00000274,501.00000000,0.00000273,70504.00000000,0.00000274,29705.00000000,0.00000287,0.00000293,0.00000270,13442250.00000000,37.55106797,1607498857561,1607585257561,7179436,7186183,6748
ZECBTC,ZEC,BTC,-0.00016700,-4.320,0.00374979,0.00386900,0.00369900,10.02000000,0.00369500,5.23200000,0.00369900,33.60400000,0.00386600,0.00387500,0.00368700,44974.80800000,168.64591504,1607498921996,1607585321996,15723794,15733417,9624
ZECETH,ZEC,ETH,-0.00787000,-6.131,0.12208926,0.12838000,0.12049000,5.29600000,0.12041000,5.75400000,0.12080000,0.61500000,0.12836000,0.12875000,0.11843000,1481.41200000,180.86449644,1607498921361,1607585321361,2561961,2562802,842
BNTBTC,BNT,BTC,0.00000009,0.172,0.00005311,0.00005217,0.00005227,5.00000000,0.00005222,268.00000000,0.00005253,47.00000000,0.00005218,0.00005456,0.00005148,273579.00000000,14.52897708,1607498922015,1607585322015,4321007,4323494,2488
ASTBTC,AST,BTC,0.00000042,9.032,0.00000505,0.00000465,0.00000507,302.00000000,0.00000506,13.00000000,0.00000507,19025.00000000,0.00000465,0.00000568,0.00000450,9499086.00000000,47.95248858,1607498907750,1607585307750,9382339,9393801,11463
ASTETH,AST,ETH,0.00000000,0.000,0.00006960,0.00006960,0.00006960,45.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006960,0.00006960,0.00006960,45.00000000,0.00313200,1604223738964,1604310138964,1543220,1543220,1
DASHBTC,DASH,BTC,-0.00002100,-0.409,0.00509172,0.00513700,0.00511900,11.16600000,0.00511900,91.93000000,0.00512100,4.42000000,0.00514000,0.00518200,0.00500000,15355.41600000,78.18553513,1607498921999,1607585321999,17377859,17385743,7885
DASHETH,DASH,ETH,-0.00327000,-1.919,0.16629949,0.17128000,0.16713000,0.22200000,0.16669000,0.25200000,0.16705000,0.19000000,0.17040000,0.17267000,0.16273000,697.03900000,115.91722898,1607498922117,1607585322117,2573533,2574250,718
OAXBTC,OAX,BTC,0.00000001,0.272,0.00000369,0.00000368,0.00000368,170.00000000,0.00000368,26221.00000000,0.00000370,4594.00000000,0.00000367,0.00000375,0.00000358,1404632.00000000,5.18399286,1607498896631,1607585296631,6966907,6967815,909
BTGBTC,BTG,BTC,-0.00000500,-1.080,0.00046284,0.00045900,0.00045800,71.45000000,0.00045400,78.52000000,0.00045800,345.98000000,0.00046300,0.00049100,0.00045000,22695.81000000,10.50456334,1607498918775,1607585318775,8877162,8878940,1779
BTGETH,BTG,ETH,0.00000000,0.000,0.05274500,0.05274500,0.05274500,13.32000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05274500,0.05274500,0.05274500,13.32000000,0.70256340,1604223738964,1604310138964,1166100,1166100,1
EVXBTC,EVX,BTC,-0.00000003,-0.203,0.00001481,0.00001479,0.00001477,266.00000000,0.00001477,7.00000000,0.00001487,639.00000000,0.00001480,0.00001507,0.00001458,58172.00000000,0.86178618,1607498894538,1607585294538,8764920,8765226,307
EVXETH,EVX,ETH,0.00002570,4.289,0.00061523,0.00061280,0.00062490,40.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00059920,0.00063680,0.00059050,18190.00000000,11.19094970,1604923200623,1605009600623,1804761,1804913,153
REQBTC,REQ,BTC,0.00000003,2.256,0.00000135,0.00000132,0.00000136,6531.00000000,0.00000136,96479.00000000,0.00000137,6095.00000000,0.00000133,0.00000138,0.00000132,3801235.00000000,5.14549054,1607498827919,1607585227919,6153616,6154801,1186
REQETH,REQ,ETH,0.00000000,0.000,0.00004995,0.00004995,0.00004995,548.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004995,0.00004995,0.00004995,548.00000000,0.02737260,1604223738964,1604310138964,2243012,2243012,1
VIBBTC,VIB,BTC,0.00000007,8.046,0.00000094,0.00000087,0.00000094,2106.00000000,0.00000094,93270.00000000,0.00000095,187492.00000000,0.00000087,0.00000108,0.00000085,27225145.00000000,25.47603060,1607498874755,1607585274755,6659884,6662232,2349
VIBETH,VIB,ETH,0.00000190,6.518,0.00002989,0.00002884,0.00003105,3317.00000000,0.00003061,6468.00000000,0.00003113,7564.00000000,0.00002915,0.00003425,0.00002830,6775598.00000000,202.51001022,1607498921358,1607585321358,1649752,1650503,752
TRXBTC,TRX,BTC,0.00000000,0.000,0.00000155,0.00000153,0.00000154,235.00000000,0.00000154,6260740.00000000,0.00000155,5117.00000000,0.00000154,0.00000158,0.00000152,158537700.00000000,245.03825791,1607498921751,1607585321751,52593858,52606890,13033
TRXETH,TRX,ETH,-0.00000065,-1.271,0.00005013,0.00005118,0.00005051,5554.00000000,0.00005047,2250.00000000,0.00005052,16157.00000000,0.00005116,0.00005135,0.00004935,62546938.00000000,3135.32200457,1607498922126,1607585322126,24768098,24782951,14854
POWRBTC,POWR,BTC,-0.00000010,-1.852,0.00000533,0.00000540,0.00000530,43.00000000,0.00000529,28.00000000,0.00000530,942.00000000,0.00000540,0.00000544,0.00000521,3578847.00000000,19.07807666,1607498920260,1607585320260,9228064,9231636,3573
POWRETH,POWR,ETH,-0.00000560,-3.144,0.00017333,0.00017858,0.00017254,1931.00000000,0.00017224,766.00000000,0.00017359,493.00000000,0.00017814,0.00017960,0.00016821,339353.00000000,58.81901483,1607498897792,1607585297792,2014262,2015007,746
ARKBTC,ARK,BTC,-0.00000021,-1.024,0.00002059,0.00002046,0.00002030,307.00000000,0.00002027,1.00000000,0.00002030,164.00000000,0.00002051,0.00002102,0.00002017,628511.00000000,12.93935013,1607498874051,1607585274051,7306554,7309209,2656
ARKETH,ARK,ETH,0.00000000,0.000,0.00104600,0.00104600,0.00104600,25.11000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00104600,0.00104600,0.00104600,25.11000000,0.02626506,1604223738964,1604310138964,1428793,1428793,1
XRPBTC,XRP,BTC,0.00000101,3.348,0.00003041,0.00003018,0.00003118,3978.00000000,0.00003118,4500.00000000,0.00003119,10250.00000000,0.00003017,0.00003276,0.00002853,253876629.00000000,7720.18188300,1607498922129,1607585322129,83199862,83395763,195902
XRPETH,XRP,ETH,0.00001357,1.354,0.00099107,0.00100209,0.00101570,3079.00000000,0.00101569,5223.00000000,0.00101720,95.00000000,0.00100213,0.00105151,0.00094674,11379291.00000000,11277.72070965,1607498922137,1607585322137,17579644,17595282,15639
ENJBTC,ENJ,BTC,-0.00000007,-0.916,0.00000756,0.00000764,0.00000757,890.00000000,0.00000755,19342.00000000,0.00000757,10014.00000000,0.00000764,0.00000766,0.00000737,6570176.00000000,49.67555909,1607498913483,1607585313483,19726369,19731741,5373
ENJETH,ENJ,ETH,-0.00000774,-3.046,0.00024601,0.00025410,0.00024636,98.00000000,0.00024636,222.00000000,0.00024684,98.00000000,0.00025410,0.00025410,0.00024200,1923369.00000000,473.16700991,1607498883313,1607585283313,4681350,4683233,1884
STORJBTC,STORJ,BTC,-0.00000055,-2.975,0.00001820,0.00001853,0.00001794,14.00000000,0.00001788,14.00000000,0.00001794,2119.00000000,0.00001849,0.00001853,0.00001782,853552.00000000,15.53158254,1607498922286,1607585322286,7402707,7404651,1945
STORJETH,STORJ,ETH,-0.00002780,-4.529,0.00059079,0.00061680,0.00058600,7.00000000,0.00058140,109.00000000,0.00058560,6729.00000000,0.00061380,0.00061380,0.00058340,38387.00000000,22.67859840,1607498922036,1607585322036,1209632,1209752,121
BNBUSDT,BNB,USDT,0.26670000,0.966,27.90961632,27.60600000,27.88100000,1.10000000,27.88140000,13.36500000,27.88410000,2.16000000,27.61430000,28.38530000,26.92440000,1635980.98300000,45659601.53778350,1607498922391,1607585322391,95756534,95915609,159076
POWRBNB,POWR,BNB,0.00000000,0.000,0.00385000,0.00385000,0.00385000,1100.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00385000,0.00385000,0.00385000,1100.00000000,4.23500000,1604223738964,1604310138964,539999,539999,1
KMDBTC,KMD,BTC,-0.00000040,-1.365,0.00002899,0.00002940,0.00002890,295.60000000,0.00002880,233.74000000,0.00002890,492.11000000,0.00002930,0.00002960,0.00002860,424397.00000000,12.30519613,1607498910493,1607585310493,8753533,8755355,1823
KMDETH,KMD,ETH,-0.00003000,-3.077,0.00094645,0.00097500,0.00094500,3.35000000,0.00093600,383.74000000,0.00094400,72.48000000,0.00097500,0.00097500,0.00092600,29108.44000000,27.54960502,1607498915007,1607585315007,1450208,1450519,312
NULSBNB,NULS,BNB,0.00000000,0.000,0.01257000,0.01257000,0.01257000,38.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01257000,0.01257000,0.01257000,38.00000000,0.47766000,1604223738964,1604310138964,602520,602520,1
RCNBTC,RCN,BTC,0.00000039,17.808,0.00000246,0.00000218,0.00000258,522.00000000,0.00000257,964.00000000,0.00000258,21491.00000000,0.00000219,0.00000270,0.00000215,14901930.00000000,36.60340358,1607498915758,1607585315758,7020226,7028838,8613
RCNETH,RCN,ETH,0.00000000,0.000,0.00037604,0.00037604,0.00037604,8.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00037604,0.00037604,0.00037604,8.00000000,0.00300832,1604223738964,1604310138964,1194960,1194960,1
RCNBNB,RCN,BNB,0.00000000,0.000,0.00347300,0.00347300,0.00347300,61.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00347300,0.00347300,0.00347300,61.00000000,0.21185300,1604223738964,1604310138964,545483,545483,1
NULSBTC,NULS,BTC,-0.00000001,-0.067,0.00001521,0.00001486,0.00001487,4.00000000,0.00001483,752.00000000,0.00001487,3103.00000000,0.00001488,0.00001609,0.00001450,1678110.00000000,25.52566810,1607498860423,1607585260423,8881441,8887255,5815
NULSETH,NULS,ETH,-0.00001477,-2.766,0.00053020,0.00053265,0.00051926,165.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00053403,0.00054836,0.00051918,76339.00000000,40.47462862,1605528001281,1605614401281,1662987,1663474,488
RDNBTC,RDN,BTC,-0.00000020,-2.000,0.00000991,0.00001001,0.00000980,806.00000000,0.00000980,3930.00000000,0.00000984,11.00000000,0.00001000,0.00001010,0.00000970,436853.00000000,4.33027746,1607498350395,1607584750395,4891544,4892355,812
RDNETH,RDN,ETH,0.00000000,0.000,0.00071530,0.00071530,0.00071530,15.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00071530,0.00071530,0.00071530,15.00000000,0.01072950,1604223738964,1604310138964,1397439,1397439,1
RDNBNB,RDN,BNB,0.00000000,0.000,0.00623000,0.00623000,0.00623000,10.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00623000,0.00623000,0.00623000,10.70000000,0.06666100,1604223738964,1604310138964,317363,317363,1
XMRBTC,XMR,BTC,-0.00003400,-0.470,0.00722640,0.00722600,0.00719600,0.22100000,0.00719300,0.19600000,0.00719500,10.00000000,0.00723000,0.00741000,0.00712500,74126.24100000,535.66554822,1607498921919,1607585321919,27930018,27954960,24943
XMRETH,XMR,ETH,-0.00577000,-2.398,0.23393731,0.24039000,0.23481000,3.28100000,0.23428000,0.37800000,0.23488000,0.24100000,0.24058000,0.24372000,0.22895000,4238.82800000,991.61999990,1607498895641,1607585295641,3211783,3213667,1885
DLTBNB,DLT,BNB,0.00000000,0.000,0.00240000,0.00240000,0.00240000,1127.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00240000,0.00240000,0.00240000,1127.00000000,2.70480000,1604223738964,1604310138964,453921,453921,1
WTCBNB,WTC,BNB,0.00028000,2.420,0.01176782,0.01155000,0.01185000,650.80000000,0.01183000,4823.00000000,0.01191000,143.40000000,0.01157000,0.01208000,0.01113000,257369.70000000,3028.67964300,1607498915082,1607585315082,825904,827862,1959
DLTBTC,DLT,BTC,0.00000002,1.198,0.00000168,0.00000167,0.00000169,31820.00000000,0.00000169,60820.00000000,0.00000170,7498.00000000,0.00000167,0.00000173,0.00000160,1232206.00000000,2.07206442,1607498896974,1607585296974,7381507,7382044,538
DLTETH,DLT,ETH,0.00000000,0.000,0.00016807,0.00016807,0.00016807,17.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00016807,0.00016807,0.00016807,17.00000000,0.00285719,1604223738964,1604310138964,1444349,1444349,1
AMBBTC,AMB,BTC,-0.00000002,-2.985,0.00000066,0.00000067,0.00000065,480.00000000,0.00000064,1171726.00000000,0.00000065,260559.00000000,0.00000067,0.00000070,0.00000062,21685038.00000000,14.35865992,1607498921323,1607585321323,7282713,7288160,5448
AMBETH,AMB,ETH,0.00000000,0.000,0.00004100,0.00004100,0.00004100,8814.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004100,0.00004100,0.00004100,8814.00000000,0.36137400,1604223738964,1604310138964,1351920,1351920,1
AMBBNB,AMB,BNB,0.00000000,0.000,0.00068500,0.00068500,0.00068500,146.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00068500,0.00068500,0.00068500,146.00000000,0.10001000,1604223738964,1604310138964,444586,444586,1
